group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add,add M31,,,,993264.0,ns,13
add,add M31,,,,1957746.0,ns,26
add,add M31,,,,2951360.0,ns,39
add,add M31,,,,3921222.0,ns,52
add,add M31,,,,4899326.0,ns,65
add,add M31,,,,5881063.0,ns,78
add,add M31,,,,6841563.0,ns,91
add,add M31,,,,7833570.0,ns,104
add,add M31,,,,8796375.0,ns,117
add,add M31,,,,9795717.0,ns,130
add,add M31,,,,10775290.0,ns,143
add,add M31,,,,11722446.0,ns,156
add,add M31,,,,12719413.0,ns,169
add,add M31,,,,13702757.0,ns,182
add,add M31,,,,14682329.0,ns,195
add,add M31,,,,15662530.0,ns,208
add,add M31,,,,16627710.0,ns,221
add,add M31,,,,17590306.0,ns,234
add,add M31,,,,18613261.0,ns,247
add,add M31,,,,19586336.0,ns,260
add,add M31,,,,20541596.0,ns,273
add,add M31,,,,21517186.0,ns,286
add,add M31,,,,22502696.0,ns,299
add,add M31,,,,23547587.0,ns,312
add,add M31,,,,24622516.0,ns,325
add,add M31,,,,25420034.0,ns,338
add,add M31,,,,26355454.0,ns,351
add,add M31,,,,27242181.0,ns,364
add,add M31,,,,28222940.0,ns,377
add,add M31,,,,29381563.0,ns,390
add,add M31,,,,33991390.0,ns,403
add,add M31,,,,32195089.0,ns,416
add,add M31,,,,32834236.0,ns,429
add,add M31,,,,33555746.0,ns,442
add,add M31,,,,35388513.0,ns,455
add,add M31,,,,35305450.0,ns,468
add,add M31,,,,36223266.0,ns,481
add,add M31,,,,37216949.0,ns,494
add,add M31,,,,38272668.0,ns,507
add,add M31,,,,39222549.0,ns,520
add,add M31,,,,40229156.0,ns,533
add,add M31,,,,41151374.0,ns,546
add,add M31,,,,42122282.0,ns,559
add,add M31,,,,43157881.0,ns,572
add,add M31,,,,44109999.0,ns,585
add,add M31,,,,45080559.0,ns,598
add,add M31,,,,46067884.0,ns,611
add,add M31,,,,47017346.0,ns,624
add,add M31,,,,48051758.0,ns,637
add,add M31,,,,48992698.0,ns,650
add,add M31,,,,49914775.0,ns,663
add,add M31,,,,50890574.0,ns,676
add,add M31,,,,51913806.0,ns,689
add,add M31,,,,52915383.0,ns,702
add,add M31,,,,54416737.0,ns,715
add,add M31,,,,64681561.0,ns,728
add,add M31,,,,56150443.0,ns,741
add,add M31,,,,57026342.0,ns,754
add,add M31,,,,58035674.0,ns,767
add,add M31,,,,58771296.0,ns,780
add,add M31,,,,59862154.0,ns,793
add,add M31,,,,60792196.0,ns,806
add,add M31,,,,61776378.0,ns,819
add,add M31,,,,62834751.0,ns,832
add,add M31,,,,63712328.0,ns,845
add,add M31,,,,65036308.0,ns,858
add,add M31,,,,66014692.0,ns,871
add,add M31,,,,66933975.0,ns,884
add,add M31,,,,67626423.0,ns,897
add,add M31,,,,68596351.0,ns,910
add,add M31,,,,69815821.0,ns,923
add,add M31,,,,80207090.0,ns,936
add,add M31,,,,74401686.0,ns,949
add,add M31,,,,73156578.0,ns,962
add,add M31,,,,73726633.0,ns,975
add,add M31,,,,75522933.0,ns,988
add,add M31,,,,77224224.0,ns,1001
add,add M31,,,,88265119.0,ns,1014
add,add M31,,,,78361958.0,ns,1027
add,add M31,,,,78651177.0,ns,1040
add,add M31,,,,80048509.0,ns,1053
add,add M31,,,,80904010.0,ns,1066
add,add M31,,,,82060183.0,ns,1079
add,add M31,,,,82928887.0,ns,1092
add,add M31,,,,88960706.0,ns,1105
add,add M31,,,,88704741.0,ns,1118
add,add M31,,,,87276391.0,ns,1131
add,add M31,,,,88054837.0,ns,1144
add,add M31,,,,89306582.0,ns,1157
add,add M31,,,,90798014.0,ns,1170
add,add M31,,,,92697079.0,ns,1183
add,add M31,,,,97312075.0,ns,1196
add,add M31,,,,93402661.0,ns,1209
add,add M31,,,,94443775.0,ns,1222
add,add M31,,,,96535162.0,ns,1235
add,add M31,,,,97214897.0,ns,1248
add,add M31,,,,114102900.0,ns,1261
add,add M31,,,,100545314.0,ns,1274
add,add M31,,,,102377173.0,ns,1287
add,add M31,,,,101314119.0,ns,1300
