group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add,add M9689,,,,1605024.0,ns,3
add,add M9689,,,,2957365.0,ns,6
add,add M9689,,,,4360075.0,ns,9
add,add M9689,,,,5862963.0,ns,12
add,add M9689,,,,7307520.0,ns,15
add,add M9689,,,,8795108.0,ns,18
add,add M9689,,,,10119786.0,ns,21
add,add M9689,,,,11689739.0,ns,24
add,add M9689,,,,13087279.0,ns,27
add,add M9689,,,,14589051.0,ns,30
add,add M9689,,,,16019425.0,ns,33
add,add M9689,,,,17425768.0,ns,36
add,add M9689,,,,18813248.0,ns,39
add,add M9689,,,,20181517.0,ns,42
add,add M9689,,,,21652271.0,ns,45
add,add M9689,,,,23237314.0,ns,48
add,add M9689,,,,24506592.0,ns,51
add,add M9689,,,,26114690.0,ns,54
add,add M9689,,,,27406882.0,ns,57
add,add M9689,,,,28999749.0,ns,60
add,add M9689,,,,30458696.0,ns,63
add,add M9689,,,,31891795.0,ns,66
add,add M9689,,,,33302748.0,ns,69
add,add M9689,,,,34704481.0,ns,72
add,add M9689,,,,36388725.0,ns,75
add,add M9689,,,,37710816.0,ns,78
add,add M9689,,,,39095083.0,ns,81
add,add M9689,,,,40576735.0,ns,84
add,add M9689,,,,42043995.0,ns,87
add,add M9689,,,,43311108.0,ns,90
add,add M9689,,,,45940341.0,ns,93
add,add M9689,,,,47802797.0,ns,96
add,add M9689,,,,47854353.0,ns,99
add,add M9689,,,,49404188.0,ns,102
add,add M9689,,,,55253947.0,ns,105
add,add M9689,,,,52617867.0,ns,108
add,add M9689,,,,53741278.0,ns,111
add,add M9689,,,,55705799.0,ns,114
add,add M9689,,,,56417877.0,ns,117
add,add M9689,,,,57987063.0,ns,120
add,add M9689,,,,59685558.0,ns,123
add,add M9689,,,,60884977.0,ns,126
add,add M9689,,,,62188347.0,ns,129
add,add M9689,,,,63696335.0,ns,132
add,add M9689,,,,65021500.0,ns,135
add,add M9689,,,,66461026.0,ns,138
add,add M9689,,,,68427223.0,ns,141
add,add M9689,,,,70560105.0,ns,144
add,add M9689,,,,73257942.0,ns,147
add,add M9689,,,,72401673.0,ns,150
add,add M9689,,,,93276405.0,ns,153
add,add M9689,,,,75364067.0,ns,156
add,add M9689,,,,75871387.0,ns,159
add,add M9689,,,,78099138.0,ns,162
add,add M9689,,,,79017792.0,ns,165
add,add M9689,,,,83683502.0,ns,168
add,add M9689,,,,82887591.0,ns,171
add,add M9689,,,,83465330.0,ns,174
add,add M9689,,,,84891232.0,ns,177
add,add M9689,,,,86206059.0,ns,180
add,add M9689,,,,88269222.0,ns,183
add,add M9689,,,,89240200.0,ns,186
add,add M9689,,,,93844852.0,ns,189
add,add M9689,,,,92536034.0,ns,192
add,add M9689,,,,93559755.0,ns,195
add,add M9689,,,,96418128.0,ns,198
add,add M9689,,,,98283868.0,ns,201
add,add M9689,,,,98300005.0,ns,204
add,add M9689,,,,99482867.0,ns,207
add,add M9689,,,,100997002.0,ns,210
add,add M9689,,,,102862391.0,ns,213
add,add M9689,,,,103835255.0,ns,216
add,add M9689,,,,106969225.0,ns,219
add,add M9689,,,,107786093.0,ns,222
add,add M9689,,,,107954245.0,ns,225
add,add M9689,,,,111385607.0,ns,228
add,add M9689,,,,111850801.0,ns,231
add,add M9689,,,,112352113.0,ns,234
add,add M9689,,,,113878404.0,ns,237
add,add M9689,,,,115444654.0,ns,240
add,add M9689,,,,117180105.0,ns,243
add,add M9689,,,,120829429.0,ns,246
add,add M9689,,,,120458544.0,ns,249
add,add M9689,,,,121667953.0,ns,252
add,add M9689,,,,124240881.0,ns,255
add,add M9689,,,,124830146.0,ns,258
add,add M9689,,,,132150517.0,ns,261
add,add M9689,,,,131904751.0,ns,264
add,add M9689,,,,128845183.0,ns,267
add,add M9689,,,,136021016.0,ns,270
add,add M9689,,,,132317621.0,ns,273
add,add M9689,,,,146658040.0,ns,276
add,add M9689,,,,135503216.0,ns,279
add,add M9689,,,,136132930.0,ns,282
add,add M9689,,,,137202759.0,ns,285
add,add M9689,,,,139413673.0,ns,288
add,add M9689,,,,163070841.0,ns,291
add,add M9689,,,,143387284.0,ns,294
add,add M9689,,,,145175340.0,ns,297
add,add M9689,,,,147580884.0,ns,300
