group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decrypt,decrypt M521,,,,57026192.0,ns,2
decrypt,decrypt M521,,,,56945085.0,ns,2
decrypt,decrypt M521,,,,56900375.0,ns,2
decrypt,decrypt M521,,,,62124681.0,ns,2
decrypt,decrypt M521,,,,58367775.0,ns,2
decrypt,decrypt M521,,,,57151940.0,ns,2
decrypt,decrypt M521,,,,57209574.0,ns,2
decrypt,decrypt M521,,,,56705048.0,ns,2
decrypt,decrypt M521,,,,56938100.0,ns,2
decrypt,decrypt M521,,,,56858670.0,ns,2
decrypt,decrypt M521,,,,56618492.0,ns,2
decrypt,decrypt M521,,,,56867821.0,ns,2
decrypt,decrypt M521,,,,56834429.0,ns,2
decrypt,decrypt M521,,,,56622055.0,ns,2
decrypt,decrypt M521,,,,56803620.0,ns,2
decrypt,decrypt M521,,,,56590968.0,ns,2
decrypt,decrypt M521,,,,56784828.0,ns,2
decrypt,decrypt M521,,,,56874178.0,ns,2
decrypt,decrypt M521,,,,56584821.0,ns,2
decrypt,decrypt M521,,,,56905964.0,ns,2
decrypt,decrypt M521,,,,56730058.0,ns,2
decrypt,decrypt M521,,,,56883749.0,ns,2
decrypt,decrypt M521,,,,64706619.0,ns,2
decrypt,decrypt M521,,,,57919626.0,ns,2
decrypt,decrypt M521,,,,57195113.0,ns,2
decrypt,decrypt M521,,,,56805925.0,ns,2
decrypt,decrypt M521,,,,56903379.0,ns,2
decrypt,decrypt M521,,,,57111072.0,ns,2
decrypt,decrypt M521,,,,56831005.0,ns,2
decrypt,decrypt M521,,,,57073767.0,ns,2
decrypt,decrypt M521,,,,57002091.0,ns,2
decrypt,decrypt M521,,,,56988678.0,ns,2
decrypt,decrypt M521,,,,60877549.0,ns,2
decrypt,decrypt M521,,,,57838450.0,ns,2
decrypt,decrypt M521,,,,57300950.0,ns,2
decrypt,decrypt M521,,,,56864607.0,ns,2
decrypt,decrypt M521,,,,57006492.0,ns,2
decrypt,decrypt M521,,,,57063498.0,ns,2
decrypt,decrypt M521,,,,57111561.0,ns,2
decrypt,decrypt M521,,,,57046591.0,ns,2
decrypt,decrypt M521,,,,69357936.0,ns,2
decrypt,decrypt M521,,,,58219813.0,ns,2
decrypt,decrypt M521,,,,57873729.0,ns,2
decrypt,decrypt M521,,,,57744977.0,ns,2
decrypt,decrypt M521,,,,57569350.0,ns,2
decrypt,decrypt M521,,,,57414262.0,ns,2
decrypt,decrypt M521,,,,57579829.0,ns,2
decrypt,decrypt M521,,,,57673931.0,ns,2
decrypt,decrypt M521,,,,57621955.0,ns,2
decrypt,decrypt M521,,,,57395400.0,ns,2
decrypt,decrypt M521,,,,57951063.0,ns,2
decrypt,decrypt M521,,,,57488942.0,ns,2
decrypt,decrypt M521,,,,57385829.0,ns,2
decrypt,decrypt M521,,,,57460510.0,ns,2
decrypt,decrypt M521,,,,57482096.0,ns,2
decrypt,decrypt M521,,,,57505149.0,ns,2
decrypt,decrypt M521,,,,57678610.0,ns,2
decrypt,decrypt M521,,,,57463164.0,ns,2
decrypt,decrypt M521,,,,63269888.0,ns,2
decrypt,decrypt M521,,,,58252576.0,ns,2
decrypt,decrypt M521,,,,57745187.0,ns,2
decrypt,decrypt M521,,,,57780676.0,ns,2
decrypt,decrypt M521,,,,57597504.0,ns,2
decrypt,decrypt M521,,,,57784098.0,ns,2
decrypt,decrypt M521,,,,57936812.0,ns,2
decrypt,decrypt M521,,,,57492575.0,ns,2
decrypt,decrypt M521,,,,57682523.0,ns,2
decrypt,decrypt M521,,,,57518004.0,ns,2
decrypt,decrypt M521,,,,57964406.0,ns,2
decrypt,decrypt M521,,,,57619929.0,ns,2
decrypt,decrypt M521,,,,57592613.0,ns,2
decrypt,decrypt M521,,,,57798280.0,ns,2
decrypt,decrypt M521,,,,57759508.0,ns,2
decrypt,decrypt M521,,,,57844317.0,ns,2
decrypt,decrypt M521,,,,57918997.0,ns,2
decrypt,decrypt M521,,,,57503403.0,ns,2
decrypt,decrypt M521,,,,61630565.0,ns,2
decrypt,decrypt M521,,,,59087119.0,ns,2
decrypt,decrypt M521,,,,57784029.0,ns,2
decrypt,decrypt M521,,,,57881413.0,ns,2
decrypt,decrypt M521,,,,57626706.0,ns,2
decrypt,decrypt M521,,,,57773969.0,ns,2
decrypt,decrypt M521,,,,57826713.0,ns,2
decrypt,decrypt M521,,,,57618462.0,ns,2
decrypt,decrypt M521,,,,57775506.0,ns,2
decrypt,decrypt M521,,,,57531556.0,ns,2
decrypt,decrypt M521,,,,57713610.0,ns,2
decrypt,decrypt M521,,,,57805476.0,ns,2
decrypt,decrypt M521,,,,57803799.0,ns,2
decrypt,decrypt M521,,,,57964895.0,ns,2
decrypt,decrypt M521,,,,57668970.0,ns,2
decrypt,decrypt M521,,,,57605817.0,ns,2
decrypt,decrypt M521,,,,57789617.0,ns,2
decrypt,decrypt M521,,,,57702223.0,ns,2
decrypt,decrypt M521,,,,60389370.0,ns,2
decrypt,decrypt M521,,,,62041758.0,ns,2
decrypt,decrypt M521,,,,58068777.0,ns,2
decrypt,decrypt M521,,,,57826504.0,ns,2
decrypt,decrypt M521,,,,57481694.0,ns,2
decrypt,decrypt M521,,,,57988491.0,ns,2
