group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encrypt,encrypt M3217,,,,50721496.0,ns,16
encrypt,encrypt M3217,,,,50686228.0,ns,16
encrypt,encrypt M3217,,,,54560167.0,ns,16
encrypt,encrypt M3217,,,,53016556.0,ns,16
encrypt,encrypt M3217,,,,50218039.0,ns,16
encrypt,encrypt M3217,,,,50489218.0,ns,16
encrypt,encrypt M3217,,,,50387883.0,ns,16
encrypt,encrypt M3217,,,,50821991.0,ns,16
encrypt,encrypt M3217,,,,51042887.0,ns,16
encrypt,encrypt M3217,,,,51015574.0,ns,16
encrypt,encrypt M3217,,,,50905440.0,ns,16
encrypt,encrypt M3217,,,,51099168.0,ns,16
encrypt,encrypt M3217,,,,50888330.0,ns,16
encrypt,encrypt M3217,,,,50758712.0,ns,16
encrypt,encrypt M3217,,,,50865772.0,ns,16
encrypt,encrypt M3217,,,,51866679.0,ns,16
encrypt,encrypt M3217,,,,50692157.0,ns,16
encrypt,encrypt M3217,,,,50821635.0,ns,16
encrypt,encrypt M3217,,,,50830225.0,ns,16
encrypt,encrypt M3217,,,,50522103.0,ns,16
encrypt,encrypt M3217,,,,50722606.0,ns,16
encrypt,encrypt M3217,,,,50854948.0,ns,16
encrypt,encrypt M3217,,,,50469865.0,ns,16
encrypt,encrypt M3217,,,,61734324.0,ns,16
encrypt,encrypt M3217,,,,56266491.0,ns,16
encrypt,encrypt M3217,,,,50361478.0,ns,16
encrypt,encrypt M3217,,,,50328306.0,ns,16
encrypt,encrypt M3217,,,,50059223.0,ns,16
encrypt,encrypt M3217,,,,49617290.0,ns,16
encrypt,encrypt M3217,,,,49654859.0,ns,16
encrypt,encrypt M3217,,,,49608487.0,ns,16
encrypt,encrypt M3217,,,,49568470.0,ns,16
encrypt,encrypt M3217,,,,49737336.0,ns,16
encrypt,encrypt M3217,,,,50209854.0,ns,16
encrypt,encrypt M3217,,,,50339892.0,ns,16
encrypt,encrypt M3217,,,,50705209.0,ns,16
encrypt,encrypt M3217,,,,50230108.0,ns,16
encrypt,encrypt M3217,,,,50101746.0,ns,16
encrypt,encrypt M3217,,,,50423487.0,ns,16
encrypt,encrypt M3217,,,,50385984.0,ns,16
encrypt,encrypt M3217,,,,50356023.0,ns,16
encrypt,encrypt M3217,,,,50273057.0,ns,16
encrypt,encrypt M3217,,,,49629508.0,ns,16
encrypt,encrypt M3217,,,,52458681.0,ns,16
encrypt,encrypt M3217,,,,53065916.0,ns,16
encrypt,encrypt M3217,,,,51246796.0,ns,16
encrypt,encrypt M3217,,,,49871564.0,ns,16
encrypt,encrypt M3217,,,,49642637.0,ns,16
encrypt,encrypt M3217,,,,49574402.0,ns,16
encrypt,encrypt M3217,,,,49977778.0,ns,16
encrypt,encrypt M3217,,,,49683066.0,ns,16
encrypt,encrypt M3217,,,,50369495.0,ns,16
encrypt,encrypt M3217,,,,50141407.0,ns,16
encrypt,encrypt M3217,,,,50151115.0,ns,16
encrypt,encrypt M3217,,,,49852561.0,ns,16
encrypt,encrypt M3217,,,,50168155.0,ns,16
encrypt,encrypt M3217,,,,49725039.0,ns,16
encrypt,encrypt M3217,,,,50090287.0,ns,16
encrypt,encrypt M3217,,,,49982947.0,ns,16
encrypt,encrypt M3217,,,,50169342.0,ns,16
encrypt,encrypt M3217,,,,49999777.0,ns,16
encrypt,encrypt M3217,,,,50178421.0,ns,16
encrypt,encrypt M3217,,,,50168644.0,ns,16
encrypt,encrypt M3217,,,,49866807.0,ns,16
encrypt,encrypt M3217,,,,49929940.0,ns,16
encrypt,encrypt M3217,,,,55492610.0,ns,16
encrypt,encrypt M3217,,,,51234219.0,ns,16
encrypt,encrypt M3217,,,,50174790.0,ns,16
encrypt,encrypt M3217,,,,50240431.0,ns,16
encrypt,encrypt M3217,,,,49772381.0,ns,16
encrypt,encrypt M3217,,,,50042860.0,ns,16
encrypt,encrypt M3217,,,,50046282.0,ns,16
encrypt,encrypt M3217,,,,49602327.0,ns,16
encrypt,encrypt M3217,,,,49534236.0,ns,16
encrypt,encrypt M3217,,,,49998793.0,ns,16
encrypt,encrypt M3217,,,,49985523.0,ns,16
encrypt,encrypt M3217,,,,49685224.0,ns,16
encrypt,encrypt M3217,,,,49557701.0,ns,16
encrypt,encrypt M3217,,,,49530814.0,ns,16
encrypt,encrypt M3217,,,,49711064.0,ns,16
encrypt,encrypt M3217,,,,49635710.0,ns,16
encrypt,encrypt M3217,,,,49466494.0,ns,16
encrypt,encrypt M3217,,,,49554140.0,ns,16
encrypt,encrypt M3217,,,,49758832.0,ns,16
encrypt,encrypt M3217,,,,49566362.0,ns,16
encrypt,encrypt M3217,,,,51405592.0,ns,16
encrypt,encrypt M3217,,,,56671175.0,ns,16
encrypt,encrypt M3217,,,,52907091.0,ns,16
encrypt,encrypt M3217,,,,50926434.0,ns,16
encrypt,encrypt M3217,,,,50921754.0,ns,16
encrypt,encrypt M3217,,,,50686891.0,ns,16
encrypt,encrypt M3217,,,,49695064.0,ns,16
encrypt,encrypt M3217,,,,49530039.0,ns,16
encrypt,encrypt M3217,,,,50057170.0,ns,16
encrypt,encrypt M3217,,,,49947944.0,ns,16
encrypt,encrypt M3217,,,,50092508.0,ns,16
encrypt,encrypt M3217,,,,49797725.0,ns,16
encrypt,encrypt M3217,,,,50497633.0,ns,16
encrypt,encrypt M3217,,,,50346436.0,ns,16
encrypt,encrypt M3217,,,,50906739.0,ns,16
