group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encrypt,encrypt M9689,,,,62825376.0,ns,3
encrypt,encrypt M9689,,,,63071691.0,ns,3
encrypt,encrypt M9689,,,,62107516.0,ns,3
encrypt,encrypt M9689,,,,62835215.0,ns,3
encrypt,encrypt M9689,,,,62485751.0,ns,3
encrypt,encrypt M9689,,,,62661949.0,ns,3
encrypt,encrypt M9689,,,,62832142.0,ns,3
encrypt,encrypt M9689,,,,62980336.0,ns,3
encrypt,encrypt M9689,,,,66540421.0,ns,3
encrypt,encrypt M9689,,,,71646280.0,ns,3
encrypt,encrypt M9689,,,,62878584.0,ns,3
encrypt,encrypt M9689,,,,62702734.0,ns,3
encrypt,encrypt M9689,,,,62088657.0,ns,3
encrypt,encrypt M9689,,,,61721174.0,ns,3
encrypt,encrypt M9689,,,,62785212.0,ns,3
encrypt,encrypt M9689,,,,62937596.0,ns,3
encrypt,encrypt M9689,,,,61888224.0,ns,3
encrypt,encrypt M9689,,,,62540852.0,ns,3
encrypt,encrypt M9689,,,,62039345.0,ns,3
encrypt,encrypt M9689,,,,63147727.0,ns,3
encrypt,encrypt M9689,,,,62880322.0,ns,3
encrypt,encrypt M9689,,,,62249483.0,ns,3
encrypt,encrypt M9689,,,,62644133.0,ns,3
encrypt,encrypt M9689,,,,62505297.0,ns,3
encrypt,encrypt M9689,,,,62947574.0,ns,3
encrypt,encrypt M9689,,,,67770872.0,ns,3
encrypt,encrypt M9689,,,,63403680.0,ns,3
encrypt,encrypt M9689,,,,62748679.0,ns,3
encrypt,encrypt M9689,,,,62727728.0,ns,3
encrypt,encrypt M9689,,,,63006447.0,ns,3
encrypt,encrypt M9689,,,,62781642.0,ns,3
encrypt,encrypt M9689,,,,62528971.0,ns,3
encrypt,encrypt M9689,,,,62554113.0,ns,3
encrypt,encrypt M9689,,,,62737715.0,ns,3
encrypt,encrypt M9689,,,,62528405.0,ns,3
encrypt,encrypt M9689,,,,62051418.0,ns,3
encrypt,encrypt M9689,,,,62824025.0,ns,3
encrypt,encrypt M9689,,,,62880244.0,ns,3
encrypt,encrypt M9689,,,,62805937.0,ns,3
encrypt,encrypt M9689,,,,75087413.0,ns,3
encrypt,encrypt M9689,,,,62353114.0,ns,3
encrypt,encrypt M9689,,,,64807537.0,ns,3
encrypt,encrypt M9689,,,,65394798.0,ns,3
encrypt,encrypt M9689,,,,63364913.0,ns,3
encrypt,encrypt M9689,,,,62832405.0,ns,3
encrypt,encrypt M9689,,,,62891837.0,ns,3
encrypt,encrypt M9689,,,,63048901.0,ns,3
encrypt,encrypt M9689,,,,63111753.0,ns,3
encrypt,encrypt M9689,,,,62640075.0,ns,3
encrypt,encrypt M9689,,,,62715496.0,ns,3
encrypt,encrypt M9689,,,,62894972.0,ns,3
encrypt,encrypt M9689,,,,62605916.0,ns,3
encrypt,encrypt M9689,,,,62926677.0,ns,3
encrypt,encrypt M9689,,,,62617090.0,ns,3
encrypt,encrypt M9689,,,,79907138.0,ns,3
encrypt,encrypt M9689,,,,62952448.0,ns,3
encrypt,encrypt M9689,,,,63036113.0,ns,3
encrypt,encrypt M9689,,,,69912758.0,ns,3
encrypt,encrypt M9689,,,,70786280.0,ns,3
encrypt,encrypt M9689,,,,62927027.0,ns,3
encrypt,encrypt M9689,,,,62997702.0,ns,3
encrypt,encrypt M9689,,,,62563036.0,ns,3
encrypt,encrypt M9689,,,,62780160.0,ns,3
encrypt,encrypt M9689,,,,62708995.0,ns,3
encrypt,encrypt M9689,,,,62549697.0,ns,3
encrypt,encrypt M9689,,,,62226903.0,ns,3
encrypt,encrypt M9689,,,,62449753.0,ns,3
encrypt,encrypt M9689,,,,62524269.0,ns,3
encrypt,encrypt M9689,,,,64801026.0,ns,3
encrypt,encrypt M9689,,,,63148403.0,ns,3
encrypt,encrypt M9689,,,,62582164.0,ns,3
encrypt,encrypt M9689,,,,62601369.0,ns,3
encrypt,encrypt M9689,,,,62526085.0,ns,3
encrypt,encrypt M9689,,,,62676234.0,ns,3
encrypt,encrypt M9689,,,,64923241.0,ns,3
encrypt,encrypt M9689,,,,65968143.0,ns,3
encrypt,encrypt M9689,,,,63448004.0,ns,3
encrypt,encrypt M9689,,,,62846148.0,ns,3
encrypt,encrypt M9689,,,,63967591.0,ns,3
encrypt,encrypt M9689,,,,62760737.0,ns,3
encrypt,encrypt M9689,,,,63264122.0,ns,3
encrypt,encrypt M9689,,,,62834268.0,ns,3
encrypt,encrypt M9689,,,,62201963.0,ns,3
encrypt,encrypt M9689,,,,62281647.0,ns,3
encrypt,encrypt M9689,,,,63791245.0,ns,3
encrypt,encrypt M9689,,,,62925894.0,ns,3
encrypt,encrypt M9689,,,,62663516.0,ns,3
encrypt,encrypt M9689,,,,62646965.0,ns,3
encrypt,encrypt M9689,,,,62664773.0,ns,3
encrypt,encrypt M9689,,,,61778821.0,ns,3
encrypt,encrypt M9689,,,,62603875.0,ns,3
encrypt,encrypt M9689,,,,66705265.0,ns,3
encrypt,encrypt M9689,,,,63644727.0,ns,3
encrypt,encrypt M9689,,,,63548561.0,ns,3
encrypt,encrypt M9689,,,,63513363.0,ns,3
encrypt,encrypt M9689,,,,62163693.0,ns,3
encrypt,encrypt M9689,,,,62723015.0,ns,3
encrypt,encrypt M9689,,,,62015002.0,ns,3
encrypt,encrypt M9689,,,,61917859.0,ns,3
encrypt,encrypt M9689,,,,62140918.0,ns,3
