group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find_g_h,find_g_h M9689,,,,3299778380.0,ns,1
find_g_h,find_g_h M9689,,,,3331286125.0,ns,1
find_g_h,find_g_h M9689,,,,2485654939.0,ns,1
find_g_h,find_g_h M9689,,,,2471037108.0,ns,1
find_g_h,find_g_h M9689,,,,4199557145.0,ns,1
find_g_h,find_g_h M9689,,,,2486634140.0,ns,1
find_g_h,find_g_h M9689,,,,6715504138.0,ns,1
find_g_h,find_g_h M9689,,,,4161505469.0,ns,1
find_g_h,find_g_h M9689,,,,2464732119.0,ns,1
find_g_h,find_g_h M9689,,,,2466141836.0,ns,1
find_g_h,find_g_h M9689,,,,7123685704.0,ns,1
find_g_h,find_g_h M9689,,,,2879597793.0,ns,1
find_g_h,find_g_h M9689,,,,3706448498.0,ns,1
find_g_h,find_g_h M9689,,,,2449663847.0,ns,1
find_g_h,find_g_h M9689,,,,3309556909.0,ns,1
find_g_h,find_g_h M9689,,,,3304830765.0,ns,1
find_g_h,find_g_h M9689,,,,2454301732.0,ns,1
find_g_h,find_g_h M9689,,,,2845336821.0,ns,1
find_g_h,find_g_h M9689,,,,4942609249.0,ns,1
find_g_h,find_g_h M9689,,,,2447266774.0,ns,1
find_g_h,find_g_h M9689,,,,4131248862.0,ns,1
find_g_h,find_g_h M9689,,,,2449766657.0,ns,1
find_g_h,find_g_h M9689,,,,5800659877.0,ns,1
find_g_h,find_g_h M9689,,,,2906679314.0,ns,1
find_g_h,find_g_h M9689,,,,7355497521.0,ns,1
find_g_h,find_g_h M9689,,,,2528711766.0,ns,1
find_g_h,find_g_h M9689,,,,9636852788.0,ns,1
find_g_h,find_g_h M9689,,,,4176087273.0,ns,1
find_g_h,find_g_h M9689,,,,3286096701.0,ns,1
find_g_h,find_g_h M9689,,,,3713614726.0,ns,1
find_g_h,find_g_h M9689,,,,5458375855.0,ns,1
find_g_h,find_g_h M9689,,,,4964087732.0,ns,1
find_g_h,find_g_h M9689,,,,2447847485.0,ns,1
find_g_h,find_g_h M9689,,,,6628618557.0,ns,1
find_g_h,find_g_h M9689,,,,2854592449.0,ns,1
find_g_h,find_g_h M9689,,,,2444001764.0,ns,1
find_g_h,find_g_h M9689,,,,2864000614.0,ns,1
find_g_h,find_g_h M9689,,,,6225567360.0,ns,1
find_g_h,find_g_h M9689,,,,3696348169.0,ns,1
find_g_h,find_g_h M9689,,,,5391157350.0,ns,1
find_g_h,find_g_h M9689,,,,5822357460.0,ns,1
find_g_h,find_g_h M9689,,,,2434996434.0,ns,1
find_g_h,find_g_h M9689,,,,4100913750.0,ns,1
find_g_h,find_g_h M9689,,,,3695066096.0,ns,1
find_g_h,find_g_h M9689,,,,9140227526.0,ns,1
find_g_h,find_g_h M9689,,,,4140768435.0,ns,1
find_g_h,find_g_h M9689,,,,2438464426.0,ns,1
find_g_h,find_g_h M9689,,,,4562200917.0,ns,1
find_g_h,find_g_h M9689,,,,5372648611.0,ns,1
find_g_h,find_g_h M9689,,,,2452234090.0,ns,1
find_g_h,find_g_h M9689,,,,3287474113.0,ns,1
find_g_h,find_g_h M9689,,,,11745174812.0,ns,1
find_g_h,find_g_h M9689,,,,5861107581.0,ns,1
find_g_h,find_g_h M9689,,,,2891924893.0,ns,1
find_g_h,find_g_h M9689,,,,4772678109.0,ns,1
find_g_h,find_g_h M9689,,,,5478085210.0,ns,1
find_g_h,find_g_h M9689,,,,9070072162.0,ns,1
find_g_h,find_g_h M9689,,,,7335332967.0,ns,1
