group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mul,mul M2203,,,,52790070.0,ns,24
mul,mul M2203,,,,49148913.0,ns,24
mul,mul M2203,,,,48798738.0,ns,24
mul,mul M2203,,,,48535652.0,ns,24
mul,mul M2203,,,,48461483.0,ns,24
mul,mul M2203,,,,48310349.0,ns,24
mul,mul M2203,,,,48992054.0,ns,24
mul,mul M2203,,,,49766156.0,ns,24
mul,mul M2203,,,,48868368.0,ns,24
mul,mul M2203,,,,49886978.0,ns,24
mul,mul M2203,,,,50006614.0,ns,24
mul,mul M2203,,,,64231471.0,ns,24
mul,mul M2203,,,,48230313.0,ns,24
mul,mul M2203,,,,47740947.0,ns,24
mul,mul M2203,,,,48927103.0,ns,24
mul,mul M2203,,,,47629414.0,ns,24
mul,mul M2203,,,,47578570.0,ns,24
mul,mul M2203,,,,47187469.0,ns,24
mul,mul M2203,,,,48069190.0,ns,24
mul,mul M2203,,,,49388597.0,ns,24
mul,mul M2203,,,,51866227.0,ns,24
mul,mul M2203,,,,48620223.0,ns,24
mul,mul M2203,,,,49477084.0,ns,24
mul,mul M2203,,,,48911733.0,ns,24
mul,mul M2203,,,,47632550.0,ns,24
mul,mul M2203,,,,47882925.0,ns,24
mul,mul M2203,,,,47696943.0,ns,24
mul,mul M2203,,,,48377251.0,ns,24
mul,mul M2203,,,,47719222.0,ns,24
mul,mul M2203,,,,48809208.0,ns,24
mul,mul M2203,,,,50511827.0,ns,24
mul,mul M2203,,,,49651752.0,ns,24
mul,mul M2203,,,,48545494.0,ns,24
mul,mul M2203,,,,48661008.0,ns,24
mul,mul M2203,,,,50778893.0,ns,24
mul,mul M2203,,,,48841823.0,ns,24
mul,mul M2203,,,,48850554.0,ns,24
mul,mul M2203,,,,48033360.0,ns,24
mul,mul M2203,,,,49949477.0,ns,24
mul,mul M2203,,,,47724663.0,ns,24
mul,mul M2203,,,,54289375.0,ns,24
mul,mul M2203,,,,51894715.0,ns,24
mul,mul M2203,,,,48218290.0,ns,24
mul,mul M2203,,,,48357480.0,ns,24
mul,mul M2203,,,,47658735.0,ns,24
mul,mul M2203,,,,47706226.0,ns,24
mul,mul M2203,,,,47901847.0,ns,24
mul,mul M2203,,,,48282472.0,ns,24
mul,mul M2203,,,,48228137.0,ns,24
mul,mul M2203,,,,49260925.0,ns,24
mul,mul M2203,,,,48542625.0,ns,24
mul,mul M2203,,,,48756823.0,ns,24
mul,mul M2203,,,,48314948.0,ns,24
mul,mul M2203,,,,47773133.0,ns,24
mul,mul M2203,,,,49486716.0,ns,24
mul,mul M2203,,,,49333279.0,ns,24
mul,mul M2203,,,,50276462.0,ns,24
mul,mul M2203,,,,48995395.0,ns,24
mul,mul M2203,,,,48561063.0,ns,24
mul,mul M2203,,,,49044278.0,ns,24
mul,mul M2203,,,,49957219.0,ns,24
mul,mul M2203,,,,55507999.0,ns,24
mul,mul M2203,,,,49225790.0,ns,24
mul,mul M2203,,,,48602682.0,ns,24
mul,mul M2203,,,,47505082.0,ns,24
mul,mul M2203,,,,51883534.0,ns,24
mul,mul M2203,,,,50081115.0,ns,24
mul,mul M2203,,,,48890211.0,ns,24
mul,mul M2203,,,,49078149.0,ns,24
mul,mul M2203,,,,49515555.0,ns,24
mul,mul M2203,,,,48923524.0,ns,24
mul,mul M2203,,,,48757446.0,ns,24
mul,mul M2203,,,,48311940.0,ns,24
mul,mul M2203,,,,47951776.0,ns,24
mul,mul M2203,,,,50007364.0,ns,24
mul,mul M2203,,,,49155392.0,ns,24
mul,mul M2203,,,,48191327.0,ns,24
mul,mul M2203,,,,48119951.0,ns,24
mul,mul M2203,,,,50724756.0,ns,24
mul,mul M2203,,,,49133529.0,ns,24
mul,mul M2203,,,,48362009.0,ns,24
mul,mul M2203,,,,61426825.0,ns,24
mul,mul M2203,,,,48951385.0,ns,24
mul,mul M2203,,,,47213218.0,ns,24
mul,mul M2203,,,,47187587.0,ns,24
mul,mul M2203,,,,47238430.0,ns,24
mul,mul M2203,,,,47356458.0,ns,24
mul,mul M2203,,,,47621500.0,ns,24
mul,mul M2203,,,,47448786.0,ns,24
mul,mul M2203,,,,47259033.0,ns,24
mul,mul M2203,,,,47496627.0,ns,24
mul,mul M2203,,,,50490160.0,ns,24
mul,mul M2203,,,,47611582.0,ns,24
mul,mul M2203,,,,47084434.0,ns,24
mul,mul M2203,,,,47649157.0,ns,24
mul,mul M2203,,,,48091659.0,ns,24
mul,mul M2203,,,,47623874.0,ns,24
mul,mul M2203,,,,47897925.0,ns,24
mul,mul M2203,,,,47983408.0,ns,24
mul,mul M2203,,,,49096302.0,ns,24
