group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mul,mul M31,,,,1019521.0,ns,9
mul,mul M31,,,,1995183.0,ns,18
mul,mul M31,,,,3193074.0,ns,27
mul,mul M31,,,,4094356.0,ns,36
mul,mul M31,,,,4987398.0,ns,45
mul,mul M31,,,,6249891.0,ns,54
mul,mul M31,,,,7036985.0,ns,63
mul,mul M31,,,,8006990.0,ns,72
mul,mul M31,,,,9094535.0,ns,81
mul,mul M31,,,,10233761.0,ns,90
mul,mul M31,,,,11070720.0,ns,99
mul,mul M31,,,,12117060.0,ns,108
mul,mul M31,,,,13312647.0,ns,117
mul,mul M31,,,,14102535.0,ns,126
mul,mul M31,,,,15363631.0,ns,135
mul,mul M31,,,,16042474.0,ns,144
mul,mul M31,,,,17890155.0,ns,153
mul,mul M31,,,,18487843.0,ns,162
mul,mul M31,,,,19603324.0,ns,171
mul,mul M31,,,,20471712.0,ns,180
mul,mul M31,,,,22830550.0,ns,189
mul,mul M31,,,,27739796.0,ns,198
mul,mul M31,,,,27735815.0,ns,207
mul,mul M31,,,,25472589.0,ns,216
mul,mul M31,,,,25830028.0,ns,225
mul,mul M31,,,,27072058.0,ns,234
mul,mul M31,,,,27486837.0,ns,243
mul,mul M31,,,,28667408.0,ns,252
mul,mul M31,,,,30219527.0,ns,261
mul,mul M31,,,,30803877.0,ns,270
mul,mul M31,,,,31579447.0,ns,279
mul,mul M31,,,,33045174.0,ns,288
mul,mul M31,,,,33515754.0,ns,297
mul,mul M31,,,,34137329.0,ns,306
mul,mul M31,,,,35195331.0,ns,315
mul,mul M31,,,,36564889.0,ns,324
mul,mul M31,,,,37967132.0,ns,333
mul,mul M31,,,,38933574.0,ns,342
mul,mul M31,,,,40196067.0,ns,351
mul,mul M31,,,,46682781.0,ns,360
mul,mul M31,,,,43268943.0,ns,369
mul,mul M31,,,,46598832.0,ns,378
mul,mul M31,,,,46732925.0,ns,387
mul,mul M31,,,,52939584.0,ns,396
mul,mul M31,,,,52108141.0,ns,405
mul,mul M31,,,,52951107.0,ns,414
mul,mul M31,,,,51711451.0,ns,423
mul,mul M31,,,,52095850.0,ns,432
mul,mul M31,,,,64516781.0,ns,441
mul,mul M31,,,,60198868.0,ns,450
mul,mul M31,,,,56170650.0,ns,459
mul,mul M31,,,,55921812.0,ns,468
mul,mul M31,,,,56354329.0,ns,477
mul,mul M31,,,,56717216.0,ns,486
mul,mul M31,,,,57268811.0,ns,495
mul,mul M31,,,,58678177.0,ns,504
mul,mul M31,,,,60205572.0,ns,513
mul,mul M31,,,,68451828.0,ns,522
mul,mul M31,,,,71803293.0,ns,531
mul,mul M31,,,,61607738.0,ns,540
mul,mul M31,,,,66069381.0,ns,549
mul,mul M31,,,,68534723.0,ns,558
mul,mul M31,,,,65181298.0,ns,567
mul,mul M31,,,,64552252.0,ns,576
mul,mul M31,,,,65967553.0,ns,585
mul,mul M31,,,,74749203.0,ns,594
mul,mul M31,,,,76461186.0,ns,603
mul,mul M31,,,,71653487.0,ns,612
mul,mul M31,,,,71376712.0,ns,621
mul,mul M31,,,,72048711.0,ns,630
mul,mul M31,,,,72836643.0,ns,639
mul,mul M31,,,,74484720.0,ns,648
mul,mul M31,,,,76773499.0,ns,657
mul,mul M31,,,,77823680.0,ns,666
mul,mul M31,,,,95104964.0,ns,675
mul,mul M31,,,,82793406.0,ns,684
mul,mul M31,,,,80558115.0,ns,693
mul,mul M31,,,,82268909.0,ns,702
mul,mul M31,,,,81979773.0,ns,711
mul,mul M31,,,,94054994.0,ns,720
mul,mul M31,,,,82629562.0,ns,729
mul,mul M31,,,,84623556.0,ns,738
mul,mul M31,,,,83666472.0,ns,747
mul,mul M31,,,,85475390.0,ns,756
mul,mul M31,,,,87141477.0,ns,765
mul,mul M31,,,,87838828.0,ns,774
mul,mul M31,,,,89559329.0,ns,783
mul,mul M31,,,,92771468.0,ns,792
mul,mul M31,,,,94238382.0,ns,801
mul,mul M31,,,,96855556.0,ns,810
mul,mul M31,,,,108062947.0,ns,819
mul,mul M31,,,,109354842.0,ns,828
mul,mul M31,,,,96699464.0,ns,837
mul,mul M31,,,,96871270.0,ns,846
mul,mul M31,,,,97748098.0,ns,855
mul,mul M31,,,,99560995.0,ns,864
mul,mul M31,,,,98753508.0,ns,873
mul,mul M31,,,,101483543.0,ns,882
mul,mul M31,,,,103020785.0,ns,891
mul,mul M31,,,,103936314.0,ns,900
